neighborhood_name,population,safety_index,crime_index,nuisance_index,perceived_safety_index,hic_subindex,hvc_subindex,nuisance_by_people_subindex,deterioration_subindex,risk_perception_subindex,feelings_of_unsafety_subindex,avoidance_subindex
IJburg West,9156,94.55,66.94,96.99,119.73,84.5,49.37,87.4,106.59,118.29,119.9,120.99
Jordaan,13613,94.35,81.1,131.68,70.26,108.79,53.41,150.81,112.55,95.79,61.76,53.23
Diemen Zuid,8099,91.84,77.51,91.39,106.63,86.35,68.68,90.81,91.96,101.46,111,107.43
Nieuwmarkt/Lastage,5894,91.71,72.16,128.83,74.15,68.15,76.17,169.29,88.37,101.33,64.55,56.58
Spaarndammer- en Zeehbrt/Houthavens,10880,91.17,69.51,112.61,91.39,94.11,44.91,138.37,86.85,98.04,90.13,86
Weesperbuurt/Plantage,10224,90.72,68.37,125.15,78.65,67.65,69.09,135.04,115.26,96.63,77.35,61.97
Nieuwe Pijp,9237,90.62,61.36,126.97,83.52,65.66,57.06,149.91,104.03,101.19,79.31,70.06
MAP/Aker W/O/Lutke-/Ookmeer,12533,90.57,68.7,95.33,107.68,90.03,47.37,95.41,95.24,104.25,109.05,109.73
Stadionbuurt,9915,90.18,89.06,107.52,73.96,75.04,103.09,109.07,105.97,93.19,64.64,64.06
Bijlmer Oost G-buurt-Oost/Grunder/Kantershof,18924,90.18,49.31,97.75,123.48,65.5,33.13,100,95.5,105.52,126.34,138.57
Erasmuspark,4704,90.15,77.16,95.32,97.97,93.29,61.04,88.37,102.27,101.37,94.97,97.57
Helmersbuurt/Vondelbuurt,15730,89.69,78.19,115.51,75.35,74.44,81.94,119.61,111.41,96.8,74.69,54.57
Frederik Hendrikbuurt/Centrale Markt,8264,89.02,74.55,106.24,86.26,73.8,75.3,124.38,88.1,93.55,82.72,82.51
IJselbuurt,11637,88.81,78.83,106.75,80.85,85.07,72.6,120.29,93.22,96.68,79.97,65.89
Betondorp,15790,87.6,72.02,99.97,90.81,105.82,38.22,78.86,121.08,93.21,88.27,90.95
Slotervaart Zuid,3234,87.59,56.21,98.88,107.67,56.17,56.25,104.83,92.93,103.27,114.22,105.53
Bijlmer Oost Kortvrt/Kelberg/park_Oost,5083,87.41,61.02,103.92,97.31,79.79,42.24,110.23,97.6,95,90.31,106.61
Chassébuurt,9561,86.81,64.73,102.74,92.96,63.55,65.9,117.92,87.56,101.67,96.28,80.93
Slotervaart Noord,8554,86.52,51.6,94.23,113.74,52.89,50.31,99.37,89.09,100.94,117.57,122.71
Tuindorp Oostzaan,7076,86.39,57.94,94.14,107.09,77.25,38.63,76.07,112.22,99.99,99.91,121.39
Geuzenbuurt,11958,86.35,81.38,88.51,89.16,58.23,104.53,95.39,81.63,100.6,85.49,81.39
Hoofddorppleinbuurt,12371,85.81,73.57,93.76,90.1,55.22,91.91,99.09,88.44,100.36,85.27,84.66
