neighborhood_name,safety_index,crime_index,nuisance_index,perceived_safety_index,hic_subindex,hvc_subindex,nuisance_by_people_subindex,deterioration_subindex,risk_perception_subindex,feelings_of_unsafety_subindex,avoidance_subindex,burglary_index
Betondorp,71.66,64.61,74.27,76.09,79.81,49.41,56.11,92.44,89.34,76.44,62.5,73.35
Amstelveen Oost,70.6,45.61,62.59,103.6,41.46,49.75,62.35,62.83,89.72,98.26,122.82,47.08
Sloter/Rierkpolder/Dorp Sloten,70.28,54.89,65.19,90.74,34.09,75.7,55.31,75.07,98.81,86.19,87.24,71.04
Diemen Noord,69.61,53.48,64.03,91.33,53.81,53.16,57.24,70.82,94.57,86.46,92.97,68.42
Westindische Buurt,68.62,56.1,82.9,66.85,60.45,51.76,75.75,90.04,91.47,59.66,49.41,30.77
Buitenveldert-West,68.36,53.5,63.62,87.97,38.54,68.46,57.12,70.12,92.46,81.03,90.43,46.71
Hoofddorppleinbuurt,68.31,61.87,70.57,72.48,46.99,76.76,70,71.14,93.68,67.18,56.6,24.52
Apollobuurt,68.31,77.93,56.1,70.89,72.85,83.02,44.66,67.54,90.09,60.5,62.09,67.76
Waterland,65.03,64.49,61.09,69.5,45.28,83.7,47.72,74.47,89.23,68.48,50.79,64.02
Aalsmeer  Hornmeer,63.96,53.36,74.14,64.37,60.53,46.2,74.86,73.41,86.49,50.98,55.64,28.38
Middenmeer,63.9,63.71,61.16,66.82,61.92,65.5,56.41,65.91,87.65,55.57,57.23,41.79
Scheldebuurt,63.85,62.32,64.27,64.96,54.22,70.41,59.92,68.62,91.41,53.51,49.95,34.19
Meerwijk/Oude Dorp en Zijdelwaard,61.76,29.41,75.13,80.73,38.26,20.56,60.83,89.44,92.71,71.27,78.22,34.68
Overtoomse Sluis,59.85,43.7,74.22,61.62,27.89,59.51,73.2,75.24,96.47,53.71,34.69,38.11
Kudelstaart,58.24,29.42,60.93,84.37,33.69,25.15,42.52,79.35,88.06,74.61,90.44,14.84
Amstelveen Oud Zuid,58.13,45.04,57.88,71.47,51.63,38.45,47.71,68.05,81.04,68.88,64.49,55.26
Aalsmeer Oost,57.32,36.4,60.76,74.79,33.04,39.75,47.11,74.4,94.07,69.11,61.2,28.81
Thamerdal/Industrie en Legmeer,56.66,27.72,67.87,74.39,31.69,23.75,51.09,84.65,92.39,69.14,61.65,33.36
Amstelveen Noord,56.29,44.7,50.97,73.2,37.02,52.37,37.79,64.14,86.29,71.53,61.78,52.48
Amstelveen Westwijk e.o.,54.79,38.08,51.4,74.9,36.39,39.76,39,63.8,93.3,71.91,59.48,41.7
Amstelveen Nieuw Zuid,53.83,28.12,57.11,76.26,36.54,19.7,49.03,65.19,92.79,71.93,64.05,55.61
Aalsmeer Centrum/Zuid,53.34,26.16,62.31,71.57,25.13,27.19,45.25,79.36,77.44,69.08,68.18,39.83
Ouderkerk a/d Amstel,45.76,25.77,45.47,66.03,28.79,22.74,27.34,63.61,82.9,61.64,53.57,63.54
De Kwakel,43.03,21.6,45.58,61.9,21.57,21.63,23.64,67.51,74.74,60.25,50.71,42.74
Driemond,38.24,23.07,42.2,49.46,26.53,19.61,22.63,61.76,76.64,46.81,24.94,23.59
